indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,F_Y16_74,PC_IND,DE	25.43 	38.54 	51.49 	59.95 	65.43 	73.38 	78.71 	75.28 
I_IUMD,F_Y16_74,PC_IND,DK	57.87 	63.44 	74.37 	77.32 	81.79 	82.83 	87.68 	91.69 
I_IUMD,F_Y16_74,PC_IND,EA	29.20 	37.90 	47.85 	53.40 	57.25 	63.58 	68.02 	72.98 
I_IUMD,F_Y16_74,PC_IND,EE	33.13 	42.44 	54.51 b	57.01 	60.29 	65.81 	67.97 	77.01 
I_IUMD,F_Y16_74,PC_IND,EL	17.76 	24.31 	34.32 	40.78 	44.60 	49.52 	52.42 	60.34 
I_IUMD,F_Y16_74,PC_IND,ES	34.08 	47.16 	60.21 	65.58 	70.40 	76.60 	80.31 	87.42 
I_IUMD,F_Y16_74,PC_IND,EU27_2007	31.37 	38.93 	47.87 	54.59 	57.17 	63.44 	68.05 	: 
I_IUMD,F_Y16_74,PC_IND,EU27_2020	27.36 	35.49 	45.03 	51.48 	54.25 	60.82 	65.82 	71.77 
I_IUMD,F_Y16_74,PC_IND,EU28	31.34 	38.88 	47.79 	54.50 	57.09 	63.27 	67.99 	73.76 
I_IUMD,F_Y16_74,PC_IND,FI	50.74 	55.93 	64.29 	72.17 	74.32 	78.46 	78.26 	: 
I_IUMD,F_Y16_74,PC_IND,FR	38.99 	46.67 	56.10 	58.82 	60.48 b	67.25 	72.44 	80.26 
I_IUMD,F_Y16_74,PC_IND,HR	29.24 	32.97 	38.87 	44.79 	47.78 	44.23 	60.32 	70.10 
I_IUMD,F_Y16_74,PC_IND,HU	14.00 	26.43 	39.64 	49.24 	55.19 	61.07 	: u	71.22 
I_IUMD,F_Y16_74,PC_IND,IE	49.10 	57.77 	65.06 	69.83 	69.03 	75.86 	72.68 	85.65 
I_IUMD,F_Y16_74,PC_IND,IS	56.05 	59.71 	69.16 	: 	: 	84.22 	84.59 	87.02 
I_IUMD,F_Y16_74,PC_IND,IT	12.31 	16.24 	21.09 	23.39 	27.39 	29.73 	37.51 	47.21 
I_IUMD,F_Y16_74,PC_IND,LT	13.77 	21.48 	28.67 	36.80 	42.06 	53.81 	60.80 	70.69 
I_IUMD,F_Y16_74,PC_IND,LU	56.01 	63.32 	67.63 	74.80 	75.90 	79.71 	80.67 b	84.43 
I_IUMD,F_Y16_74,PC_IND,LV	21.57 	28.45 	31.74 	41.07 	46.05 b	55.09 	58.04 	65.86 
I_IUMD,F_Y16_74,PC_IND,ME	27.83 	: 	: 	: 	: 	64.77 	69.47 	68.61 
I_IUMD,F_Y16_74,PC_IND,MK	16.23 	23.05 	36.03 	49.56 	52.66 	62.31 	55.95 	71.98 
I_IUMD,F_Y16_74,PC_IND,MT	36.65 	41.82 	50.93 	63.07 	62.39 	71.26 	70.78 	75.74 
I_IUMD,F_Y16_74,PC_IND,NL	49.67 	59.91 	68.23 	75.09 	77.40 	85.65 	85.26 	87.83 
I_IUMD,F_Y16_74,PC_IND,NO	70.80 	76.45 	75.54 	81.57 	79.48 	85.72 	87.80 	93.54 
I_IUMD,F_Y16_74,PC_IND,PL	19.44 	27.33 	33.85 	42.12 	30.67 	38.16 	47.19 	57.47 
I_IUMD,F_Y16_74,PC_IND,PT	17.47 	19.60 	31.55 	40.60 	48.73 	55.62 	58.08 	60.39 
I_IUMD,F_Y16_74,PC_IND,RO	5.77 	14.41 	22.32 b	34.49 	41.02 	50.26 	55.73 	67.89 
I_IUMD,F_Y16_74,PC_IND,RS	: 	: 	: 	28.91 	: 	49.15 	54.11 	57.75 
I_IUMD,F_Y16_74,PC_IND,SE	66.43 	68.37 	75.85 	76.50 	78.33 b	84.85 	90.33 	93.33 
I_IUMD,F_Y16_74,PC_IND,SI	26.13 	36.38 	41.69 	48.26 	51.67 	61.61 	65.63 	75.73 
I_IUMD,F_Y16_74,PC_IND,SK	32.69 	37.24 	46.48 	51.20 	56.81 	61.81 	58.83 	68.99 
I_IUMD,F_Y16_74,PC_IND,TR	9.72 	16.33 	25.44 	32.36 	44.11 	53.78 	57.56 	65.31 
I_IUMD,F_Y16_74,PC_IND,UK	59.92 	63.72 	72.01 	77.86 	82.68 	83.92 	82.90 	87.41 
I_IUMD,F_Y16_74,PC_IND,XK	: 	: 	: 	: 	: 	73.23 	76.29 	77.15 
I_IUMD,I0_2,PC_IND,AL	: 	: 	: 	: 	: 	: 	32.20 	49.05 
I_IUMD,I0_2,PC_IND,AT	34.01 	34.30 	32.94 	40.41 	46.97 	51.98 	58.08 	67.02 
I_IUMD,I0_2,PC_IND,BA	: 	: 	: 	: 	: 	: 	35.65 	32.12 
I_IUMD,I0_2,PC_IND,BE	29.69 	34.48 	40.38 	49.61 	54.51 	57.50 	56.87 	72.09 
I_IUMD,I0_2,PC_IND,BG	3.03 	5.49 	11.44 	15.27 	20.98 	28.75 	32.86 	35.42 
I_IUMD,I0_2,PC_IND,CH	: 	: 	47.58 	: 	: 	52.30 b	: 	75.74 
I_IUMD,I0_2,PC_IND,CY	10.04 	15.26 	21.68 	30.68 	35.93 	41.81 	43.71 	47.08 
I_IUMD,I0_2,PC_IND,CZ	: u	26.91 	32.71 	43.37 	: u	50.42 	60.14 	62.82 
I_IUMD,I0_2,PC_IND,DE	26.99 	42.16 	54.13 	60.49 	63.24 	68.84 	75.76 	71.12 
I_IUMD,I0_2,PC_IND,DK	60.54 	64.35 	72.27 	: u	78.48 	76.79 b	81.52 	86.25 
I_IUMD,I0_2,PC_IND,EA	20.69 	26.88 	33.57 	38.58 	41.73 	46.90 	52.51 	58.83 
I_IUMD,I0_2,PC_IND,EE	30.14 	38.94 	50.75 b	57.37 	55.72 	68.65 	72.16 	79.18 
I_IUMD,I0_2,PC_IND,EL	7.08 	9.82 	14.30 	16.68 	19.66 	24.15 	24.62 	32.43 
I_IUMD,I0_2,PC_IND,ES	20.54 	29.53 	39.99 	45.26 	52.55 	59.36 	64.32 	75.08 
I_IUMD,I0_2,PC_IND,EU27_2007	20.84 	26.58 	33.50 	38.09 	42.06 	47.01 	51.78 	: 
I_IUMD,I0_2,PC_IND,EU27_2020	20.30 	26.09 	33.02 	37.47 	41.05 	46.28 	51.81 	58.31 
I_IUMD,I0_2,PC_IND,EU28	20.82 	26.52 	33.46 	37.94 	41.88 	46.87 	51.61 	57.71 
I_IUMD,I0_2,PC_IND,FI	44.55 	55.19 	58.01 	65.60 	64.04 	66.20 	64.95 	: 
I_IUMD,I0_2,PC_IND,FR	30.02 	34.27 	38.84 	42.07 	41.44 b	49.03 	58.13 	66.53 
I_IUMD,I0_2,PC_IND,HR	18.41 	18.37 	28.05 	20.46 	17.25 	13.29 	29.99 	40.70 
I_IUMD,I0_2,PC_IND,HU	9.69 	18.06 	25.77 	29.75 	36.06 	40.89 	: u	46.77 
I_IUMD,I0_2,PC_IND,IE	28.50 	32.39 	39.55 	41.94 	40.30 	46.61 	39.57 	63.19 
I_IUMD,I0_2,PC_IND,IS	53.16 	51.89 	59.66 	: 	: 	75.92 	75.26 	79.71 
I_IUMD,I0_2,PC_IND,IT	7.07 	9.80 	13.59 	16.40 	19.69 	21.05 	27.92 	35.73 
I_IUMD,I0_2,PC_IND,LT	16.31 	23.57 	35.72 	36.93 	44.65 	51.75 	56.39 	61.98 
I_IUMD,I0_2,PC_IND,LU	42.00 	43.89 	54.42 	71.85 	69.68 	74.68 	72.43 b	76.31 
I_IUMD,I0_2,PC_IND,LV	23.22 	30.51 	34.08 	37.20 	43.21 b	49.84 	57.88 b	55.46 
I_IUMD,I0_2,PC_IND,ME	11.05 	: 	: 	: 	: 	24.53 u	40.83 	44.10 
I_IUMD,I0_2,PC_IND,MK	7.59 	13.07 	24.58 	28.48 	37.81 	44.71 	41.82 	57.07 
I_IUMD,I0_2,PC_IND,MT	21.90 	23.92 	29.62 	38.44 	43.08 	55.90 	54.35 	58.58 
I_IUMD,I0_2,PC_IND,NL	41.44 	47.11 	54.03 	61.29 	62.05 	73.32 	72.58 	77.56 
I_IUMD,I0_2,PC_IND,NO	71.99 	72.91 	75.32 	77.87 	79.78 	79.78 	85.46 	93.55 
I_IUMD,I0_2,PC_IND,PL	14.74 	19.95 	28.46 	36.07 	34.68 	41.57 	45.39 	50.76 
I_IUMD,I0_2,PC_IND,PT	10.52 	12.51 	20.07 	27.35 	30.75 	37.22 	38.05 	39.90 
I_IUMD,I0_2,PC_IND,RO	2.53 	6.70 	12.24 b	19.95 	22.81 	28.70 	37.07 	48.37 
I_IUMD,I0_2,PC_IND,RS	: 	: 	: 	10.91 	: 	26.80 	32.87 	37.43 
I_IUMD,I0_2,PC_IND,SE	61.85 	56.90 	65.83 	61.05 	62.70 b	75.59 	78.54 	87.11 
I_IUMD,I0_2,PC_IND,SI	15.57 	21.06 	18.98 	31.57 	36.66 	43.98 	45.76 	57.59 
I_IUMD,I0_2,PC_IND,SK	35.11 	35.05 	49.57 	50.59 	43.50 	51.19 	50.57 	52.34 
I_IUMD,I0_2,PC_IND,TR	5.91 	10.62 	18.03 	24.40 	36.39 	45.97 	50.18 	57.53 
I_IUMD,I0_2,PC_IND,UK	28.99 	33.49 	40.60 	45.25 	53.64 	56.17 	48.75 	39.85 b
I_IUMD,I0_2,PC_IND,XK	: 	: 	: 	: 	: 	62.57 	60.38 	67.25 
I_IUMD,I3_4,PC_IND,AL	: 	: 	: 	: 	: 	: 	62.51 	75.54 
I_IUMD,I3_4,PC_IND,AT	44.68 	51.23 	53.57 	62.03 	60.88 	70.72 	70.82 	77.79 
I_IUMD,I3_4,PC_IND,BA	: 	: 	: 	: 	: 	: 	66.32 	61.83 
I_IUMD,I3_4,PC_IND,BE	46.36 	48.05 	61.21 	74.23 	72.76 	78.71 	79.76 	87.55 
I_IUMD,I3_4,PC_IND,BG	9.81 	17.40 	25.31 	35.85 	44.58 	56.37 	57.27 	66.69 
I_IUMD,I3_4,PC_IND,CH	: 	: 	55.02 	: 	: 	68.28 b	: 	88.93 
I_IUMD,I3_4,PC_IND,CY	20.38 	25.88 	39.98 	60.42 	63.40 	71.26 	75.81 	81.90 
I_IUMD,I3_4,PC_IND,CZ	: u	24.14 	32.29 	38.23 	: bu	55.22 	61.38 	68.64 
I_IUMD,I3_4,PC_IND,DE	28.54 	40.87 	52.73 	61.01 	66.35 	73.99 	78.80 	75.06 
I_IUMD,I3_4,PC_IND,DK	55.60 	62.35 	72.02 	: u	80.30 	82.67 b	88.10 	92.70 
I_IUMD,I3_4,PC_IND,EA	34.79 	43.39 	52.74 	58.00 	60.65 	67.91 	71.63 	75.51 
I_IUMD,I3_4,PC_IND,EE	32.40 	42.01 	49.23 b	56.39 	58.29 	63.15 	65.71 	72.60 
I_IUMD,I3_4,PC_IND,EL	24.96 	29.40 	40.67 	52.92 	52.23 	60.26 	64.14 	71.06 
I_IUMD,I3_4,PC_IND,ES	48.64 	61.28 	76.23 	79.25 	82.08 	87.51 	89.05 	92.54 
I_IUMD,I3_4,PC_IND,EU27_2007	34.71 	41.93 	50.44 	57.04 	58.74 	65.48 	68.89 	: 
I_IUMD,I3_4,PC_IND,EU27_2020	30.32 	38.10 	46.82 	53.25 	55.16 	62.49 	66.89 	72.67 
I_IUMD,I3_4,PC_IND,EU28	34.80 	41.94 	50.34 	57.03 	58.71 	65.36 	68.91 	75.03 
I_IUMD,I3_4,PC_IND,FI	55.19 	56.93 	65.54 	70.62 	74.84 	80.03 	78.95 	: 
I_IUMD,I3_4,PC_IND,FR	42.32 	50.90 	59.53 	62.27 	60.31 b	69.73 	73.82 	81.90 
I_IUMD,I3_4,PC_IND,HR	42.88 	43.29 	40.79 	56.34 	55.49 	54.84 	71.42 	79.23 
I_IUMD,I3_4,PC_IND,HU	15.75 	26.96 	42.14 	52.13 	58.46 	62.64 	: u	73.57 
